"","Name_matched","OrganismType","Class","Ecoregion","Lat","Lon","gps_loc","habitatAuthor","Age_at_Maturity","Mean_repro","Net_repro","Age_50_dead","Age_99_dead","Age_999_dead","survival_index99","survival_index999","survival_index_LaPlusRepExp","prog_growth","retro_growth","Repro_life_expectancy","GiniF_999","GiniF_99","Gen_time","NSeedStages","Studylength","MatrixDim"
"18","Alliaria petiolata","Herbaceous perennial","Magnoliopsida","TBM",42.92559,-85.7699,"42.92559 -85.7699","Forest",2,2.50282997388789,3.92823109163842,5,22,32,0.227272727272727,0.15625,1.66666666666667,0.0919552958818323,0,1,1,1,3.5423728828058,1,4,3
"19","Alliaria petiolata","Herbaceous perennial","Magnoliopsida","TMB",38.5,-90.5,"38.5 -90.5","Forest",2,10.2718858278262,71.1314648761779,3,12,18,0.25,0.166666666666667,1,0.366005088602533,0,1,1,1,2.27138458289416,1,2,3
"20","Allium vineale","Herbaceous perennial","Liliopsida","TBM",38.5,-90.5,"38.5 -90.5","Grassland",2.01010101010101,1.01768166034979,1.40612459889579,2,5,6,0.4,0.333333333333333,0.625909860543253,0.125523906694947,0.00242665306270738,1.18524727577536,0.523893951526771,0.512774696903114,2.16022348637132,1,2,3
"21","Ardisia elliptica","Shrub","Magnoliopsida","TMB",25.5,-88.8,"25.5 -88.8","Transitional forest",22.775297369149,0.265899009249006,466.951636390504,2,158.6,517.2,0.0437970813021368,0.00820329413996605,0.0142260510895494,0.201972319720359,0.0109653821353251,167.804634107038,0.170566890848282,0.367092951770647,64.4710996693219,1,3,8
"22","Arenaria serpyllifolia","Annual","Magnoliopsida","TBM",50.5166666666667,13.9833333333333,"50.5166666666667 13.9833333333333","grassland and scree",1,1.590323354049,1.59032335404899,2,4.6,5.8,0.44,0.346666666666666,1,0,0,1,1,1,1.24417106620133,1,3,2
"23","Armeria maritima","Herbaceous perennial","Magnoliopsida","TBM",50.7333333333333,5.93333333333333,"50.7333333333333 5.93333333333333","Mine spoil, recolonisation",4.59744408945688,1.20921876890735,85.2070047688451,2,21,43,0.0952380952380952,0.0465116279069767,0.142530614740612,0.215746732779639,0,9.43462897526501,0.277140738365771,0.478682443460982,11.7876802099329,0,5,11
"24","Artemisia genipi","Herbaceous perennial","Magnoliopsida","TCF",46.8166666666667,11.0333333333333,"46.8166666666667 11.0333333333333","alpine glacial moraines",5.49017656804559,0.178288021677688,3.76198340610251,5,54,83.5,0.106940200785683,0.0698447893569845,0.313305581577557,0.202445105770535,0.0611640811301225,12.3635900357937,0.104884663478414,0.151095958771974,14.9902246080218,0,3,5
"25","Astrocaryum mexicanum","Palm","Liliopsida","TMB",18.6,-95.12,"18.6 -95.12","forest",58.5676827860712,0.748258253725456,130.557822851535,2,12.5,2124.25,0.162121212121212,0.00532485172752311,0.00164784269059103,0.0345906190456848,0,1754.6402862174,0.191025174398274,0.823775691334874,250.868997204534,0,7,14
"26","Atriplex canescens","Shrub","Magnoliopsida","DES",26.65,-103.93,"26.65 -103.93","grassland",2.44717800289436,0.456726574298417,4.10322297210465,2,46,78,0.0434782608695652,0.0256410256410256,0.137621715503909,0.18068455999547,0.0340475236440318,12.0854122404179,0.0473065003560633,0.0797479832142748,11.1760506680958,0,4,5
"27","Atriplex vesicaria","Shrub","Magnoliopsida","DES",-32.73,137.13,"-32.73 137.13","arid open shrublands",3.42136143236127,0.119870982691948,1.13312021309168,2.88888888888889,94.6666666666667,181.111111111111,0.0388295419279826,0.022167837261891,0.121008256882456,0.0614994259122264,0.0100035562075246,29.6680497827536,0.0217789517488968,0.0416293519271456,38.1860221834533,0,8,4
"28","Avicennia germinans","Tree","Magnoliopsida","TMB",10.9783333333333,-71.73,"10.9783333333333 -71.73","tropical rainforest (mangrove)",10.0212814916856,0.571234494413765,59.8405771840657,2,51,136,0.0392156862745098,0.0147058823529412,0.0369706220248306,0.112054415707498,0.0927459020159975,44.075725549655,0.296558072059487,0.421698805610018,29.7586996282215,0,3,7
"29","Banksia ericifolia","Shrub","Magnoliopsida","TGS",-33.48,151.25,"-33.48 151.25","Shrubland/forest",5.125,1.2164028710804,307.250652713131,6,59,90,0.101694915254237,0.0666666666666667,0.309107635694572,0.473488361692802,0,14.2857142857143,0.144732530718946,0.214249526087449,12.6228443664172,1,4,9
"30","Bertholletia excelsa","Tree","Magnoliopsida","TMB",-11.5,-67.25,"-11.5 -67.25","Forest",130.845072807109,0.209387087213507,2.59810803227002,3.5,93,329.5,0.0401801801801802,0.0107330229808616,0.014112540364884,0.0617945260327729,0,116.57864761313,0.445171872861199,0.74077391905534,217.458334458802,0,5,17
"31","Bertholletia excelsa","Tree","Magnoliopsida","TMB",-10.98,-65.71,"-10.98 -65.71","Forest",141.711770208623,0.365288999153663,10.4497736056753,2.5,88.5,220.5,0.13387573964497,0.0300378738409299,0.00953788294071406,0.0602588100689083,0,120.588235294117,0.622467136341591,0.642019322688612,236.040679489764,0,5,17
"32","Bothriochloa ischaemum","Herbaceous perennial","Liliopsida","TGV",30.3,-98.24,"30.3 -98.24","Grasslands",1,0.240504411109369,0.357158963640635,2,10,15,0.2,0.133333333333333,0.649287754895196,0.141201263047663,0.143659901292609,2.08029834987852,0.269917389398737,0.290899473278929,4.83800917283646,0,3,5
"33","Carduus nutans","Herbaceous perennial","Magnoliopsida","MED",44,3.15,"44 3.15","grasslands",1,0.191973030568454,0.170204874337214,2,6.25,8,0.321428571428571,0.251984126984127,0.826101624948194,0.0447105328987989,0.0078393792611411,1.44435780091371,0.195836035837523,0.226418633827903,3.48152989908082,1,4,4
